Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Game 73,NES,2004,Action,Activision,2.68,0.98,0.5,0.09,4.25
Game 74,X360,2001,Shooter,EA,0.0,0.61,0.0,0.82,1.43
Game 75,NES,2007,Racing,Sony,1.79,1.13,0.0,0.68,3.6
Game 76,PS3,2018,Shooter,Microsoft,0.9,1.04,0.06,0.0,2.0
Game 77,PS3,2002,Racing,Nintendo,0.44,0.16,0.0,0.83,1.43
Game 78,GB,1983,Action,Nintendo,0.91,0.44,0.38,0.0,1.73
Game 79,PS3,1983,Sports,EA,0.0,0.09,0.87,0.26,1.22
Game 80,GB,2000,Sports,EA,0.54,0.33,1.72,0.0,2.59
Game 81,PS3,2016,Platform,Nintendo,1.23,0.0,0.0,0.04,1.27
Game 82,X360,2020,Platform,Nintendo,2.57,0.81,0.84,0.0,4.22
Game 83,DS,1981,Racing,Activision,0.18,1.36,0.0,0.87,2.41
Game 84,GB,1986,Racing,Nintendo,0.0,0.0,0.0,0.14,0.14
Game 85,PS4,1995,Racing,Ubisoft,0.2,1.53,0.0,0.29,2.02
Game 86,PC,1996,Racing,Nintendo,1.9,0.59,0.38,0.0,2.87
Game 87,Wii,1999,Action,Microsoft,1.19,0.69,0.0,0.0,1.88
Game 88,PS3,2002,Action,Microsoft,0.16,0.0,0.0,0.02,0.18
Game 89,NES,2013,Sports,Activision,1.42,0.0,0.04,0.41,1.87
Game 90,DS,1990,Platform,Sony,0.92,0.62,0.0,0.15,1.69
Game 91,PS3,2013,Platform,EA,1.96,1.13,0.0,0.59,3.68
Game 92,NES,2012,Role-Playing,Sony,0.0,0.0,0.0,0.25,0.25
Game 93,PC,2005,Platform,Nintendo,0.41,1.84,0.35,0.2,2.8
Game 94,PC,1981,Platform,EA,0.33,1.09,0.34,0.41,2.17
Game 95,PC,2002,Shooter,Nintendo,0.0,0.0,0.0,0.24,0.24
Game 96,NES,2020,Shooter,EA,1.16,0.52,0.52,0.58,2.78
Game 97,PS3,2001,Role-Playing,Activision,1.11,2.48,1.14,0.42,5.15
Game 98,PC,2013,Racing,Ubisoft,0.81,0.0,0.31,0.56,1.68
Game 99,X360,1994,Role-Playing,Ubisoft,0.52,0.92,1.1,0.49,3.03
Game 100,GB,1989,Role-Playing,Ubisoft,0.0,0.24,1.64,0.74,2.62
Game 101,NES,1994,Sports,Activision,0.3,1.07,1.82,0.53,3.72
Game 102,NES,2008,Action,Sony,0.39,1.51,0.0,0.9,2.8
Game 103,PS3,2002,Platform,EA,0.0,0.19,0.0,0.0,0.19
Game 104,NES,1996,Sports,Sony,0.61,1.4,0.03,0.53,2.57
Game 105,NES,1988,Action,EA,1.28,2.28,0.38,0.0,3.94
Game 106,PC,2015,Platform,Nintendo,3.06,0.55,1.25,0.58,5.44
Game 107,PS3,1988,Role-Playing,Ubisoft,1.01,1.13,0.68,0.22,3.04
Game 108,PC,1995,Platform,Ubisoft,1.11,0.03,0.0,0.57,1.71
Game 109,GB,2015,Racing,EA,0.71,0.52,0.0,0.87,2.1
Game 110,DS,2012,Racing,Sony,0.0,0.36,0.27,0.52,1.15
Game 111,GB,2010,Role-Playing,Sony,0.77,1.14,0.0,0.03,1.94
Game 112,DS,1985,Shooter,Microsoft,0.87,1.46,0.31,0.0,2.64
Game 113,PC,1989,Racing,Ubisoft,3.76,0.41,0.0,0.41,4.58
Game 114,GB,1995,Role-Playing,Ubisoft,0.57,1.73,0.0,0.09,2.39
Game 115,PS3,1983,Sports,Sony,1.16,1.72,0.0,0.47,3.35
Game 116,Wii,2001,Shooter,Ubisoft,0.76,1.18,0.55,0.0,2.49
Game 117,PC,1992,Racing,Sony,0.0,0.09,0.54,0.0,0.63
Game 118,DS,1995,Role-Playing,Microsoft,2.17,0.01,0.36,0.1,2.64
Game 119,X360,2008,Role-Playing,EA,1.7,0.0,0.89,0.4,2.99
Game 120,DS,1985,Sports,EA,1.75,1.26,0.83,0.25,4.09
Game 121,X360,2005,Sports,Microsoft,0.0,0.0,0.42,0.0,0.42
Game 122,NES,1990,Shooter,Ubisoft,2.48,1.04,0.34,0.92,4.78
Game 123,GB,2003,Action,Nintendo,0.0,0.0,0.38,0.14,0.52
Game 124,X360,2008,Racing,Ubisoft,1.5,1.16,0.21,0.0,2.87
Game 125,DS,1982,Role-Playing,Sony,3.43,0.51,0.0,0.57,4.51
Game 126,NES,1989,Shooter,Activision,0.0,1.57,0.98,0.2,2.75
Game 127,Wii,1980,Shooter,Nintendo,0.12,1.41,0.54,0.13,2.2
Game 128,PS3,2005,Sports,Microsoft,0.92,1.65,0.0,0.12,2.69
Game 129,PS3,1991,Role-Playing,EA,0.2,1.67,1.16,0.13,3.16
Game 130,PS3,1993,Platform,EA,0.0,0.61,0.0,0.87,1.48
Game 131,X360,2004,Action,Ubisoft,0.88,0.0,0.24,0.39,1.51
Game 132,Wii,1987,Action,EA,0.0,0.0,0.91,0.3,1.21
Game 133,X360,1983,Sports,Ubisoft,1.37,0.0,0.43,0.09,1.89
Game 134,GB,2007,Role-Playing,Sony,0.0,0.0,1.1,0.89,1.99
Game 135,X360,1986,Shooter,Sony,2.66,0.56,0.09,0.54,3.85
Game 136,Wii,1989,Action,Microsoft,0.0,0.05,1.31,0.6,1.96
Game 137,Wii,2015,Shooter,Activision,0.41,0.36,0.0,0.31,1.08
Game 138,GB,1981,Racing,Sony,1.78,0.89,1.09,0.6,4.36
Game 139,Wii,2005,Platform,Ubisoft,0.0,0.26,0.0,0.36,0.62
Game 140,DS,1993,Sports,EA,1.07,0.0,0.0,0.05,1.12
Game 141,Wii,1995,Action,Sony,2.37,0.46,0.48,0.35,3.66
Game 142,PS3,1996,Racing,Sony,0.0,0.0,0.06,1.04,1.1
Game 143,DS,2001,Racing,Ubisoft,1.02,0.28,0.26,0.28,1.84
Game 144,DS,1983,Platform,Sony,1.11,1.57,0.32,0.71,3.71
Game 145,GB,1998,Sports,EA,1.74,0.28,0.0,0.68,2.7
Game 146,PS4,1981,Sports,Activision,0.0,1.92,0.0,0.43,2.35
Game 147,PS4,2018,Shooter,EA,0.0,1.65,0.44,0.86,2.95
Game 148,Wii,1988,Sports,Activision,1.43,0.04,0.0,0.0,1.47
Game 149,DS,1998,Racing,EA,1.16,0.0,1.1,0.0,2.26
Game 150,PS4,1995,Shooter,EA,1.1,0.46,0.18,0.89,2.63
Game 151,PS4,2004,Sports,Nintendo,1.22,1.42,0.73,0.0,3.37
Game 152,Wii,1997,Platform,EA,0.0,0.11,0.57,0.24,0.92
Game 153,PS4,2002,Racing,Nintendo,1.08,1.23,0.0,0.9,3.21
Game 154,X360,2000,Role-Playing,EA,1.15,1.47,0.0,0.28,2.9
Game 155,NES,1990,Platform,EA,0.0,0.0,1.01,0.88,1.89
Game 156,GB,2018,Platform,Ubisoft,3.04,0.0,0.0,0.04,3.08
Game 157,NES,2020,Sports,Activision,1.37,1.07,0.06,0.45,2.95
Game 158,Wii,1983,Shooter,EA,0.0,0.62,0.21,0.22,1.05
Game 159,PS3,2004,Shooter,Sony,1.59,0.0,0.27,0.8,2.66
Game 160,GB,2011,Racing,EA,0.0,0.22,0.88,0.1,1.2
Game 161,Wii,2009,Sports,Microsoft,1.74,0.44,0.3,0.0,2.48
Game 162,DS,2005,Shooter,Ubisoft,2.19,0.0,0.22,0.01,2.42
Game 163,PS3,2015,Action,Ubisoft,0.0,1.11,0.91,0.03,2.05
Game 164,NES,2013,Role-Playing,EA,1.96,0.12,0.66,0.0,2.74
Game 165,Wii,1988,Action,Microsoft,1.3,0.0,0.0,0.0,1.3
Game 166,DS,1991,Sports,Activision,1.79,0.48,0.0,0.65,2.92
Game 167,GB,1981,Sports,EA,3.08,0.0,0.0,0.76,3.84
Game 168,GB,2017,Shooter,Sony,0.51,1.85,0.27,0.36,2.99
Game 169,PC,1984,Platform,Ubisoft,0.0,0.03,0.0,0.0,0.03
Game 170,DS,1984,Sports,Ubisoft,0.0,0.0,0.35,0.0,0.35
Game 171,X360,2001,Platform,Activision,0.0,0.91,0.22,0.0,1.13
Game 172,PS4,1984,Racing,Microsoft,0.71,0.0,0.0,0.35,1.06
Game 173,PS3,1983,Racing,Nintendo,1.21,0.0,0.0,0.0,1.21
Game 174,DS,1988,Shooter,Activision,1.13,0.91,0.0,0.79,2.83
Game 175,PC,2008,Racing,Microsoft,1.79,0.0,0.09,0.0,1.88
Game 176,PS4,2001,Action,Sony,0.82,0.0,0.94,0.0,1.76
Game 177,PS4,2006,Action,Microsoft,2.54,1.88,0.0,0.16,4.58
Game 178,Wii,1989,Action,Activision,0.48,0.96,0.0,0.39,1.83
Game 179,PS4,1995,Shooter,Nintendo,4.06,0.29,0.2,0.92,5.47
Game 180,X360,1989,Shooter,Sony,1.55,0.5,0.0,0.0,2.05
Game 181,GB,1985,Action,Sony,0.0,0.9,0.0,0.08,0.98
Game 182,PC,1984,Platform,Nintendo,0.0,1.28,0.62,0.0,1.9
Game 183,PS4,1985,Action,EA,1.38,0.0,0.0,0.52,1.9
Game 184,Wii,2004,Platform,Microsoft,0.53,0.79,0.0,0.0,1.32
Game 185,X360,1983,Racing,Activision,1.66,0.09,0.0,0.16,1.91
Game 186,NES,2019,Platform,Sony,1.37,0.35,1.63,0.13,3.48
Game 187,GB,2011,Sports,Activision,0.71,0.63,0.98,0.25,2.57
Game 188,GB,2014,Role-Playing,Microsoft,0.0,0.49,0.03,0.14,0.66
Game 189,PC,1989,Sports,Nintendo,0.0,1.09,0.35,0.0,1.44
Game 190,GB,2013,Sports,Ubisoft,0.26,0.89,0.01,0.23,1.39
Game 191,PS4,2015,Shooter,Nintendo,1.83,0.0,0.61,0.0,2.44
Game 192,Wii,1985,Role-Playing,Microsoft,1.06,0.0,0.0,0.53,1.59
Game 193,GB,1995,Shooter,Sony,0.0,0.2,0.0,0.22,0.42
Game 194,GB,1998,Platform,Microsoft,1.01,1.96,0.57,0.0,3.54
Game 195,NES,2013,Action,Ubisoft,1.26,0.0,1.17,1.16,3.59
Game 196,NES,2004,Platform,Sony,0.0,0.33,0.74,0.86,1.93
Game 197,PS3,2010,Role-Playing,Ubisoft,0.98,0.07,1.04,1.18,3.27
Game 198,X360,2020,Racing,EA,0.87,0.06,0.11,0.06,1.1
Game 199,PS4,1996,Platform,Activision,0.0,0.64,0.0,0.0,0.64
Game 200,GB,2009,Sports,Nintendo,1.23,1.62,0.0,0.52,3.37
Game 201,DS,2018,Role-Playing,EA,1.47,0.86,0.34,0.64,3.31
Game 202,GB,2010,Role-Playing,Microsoft,2.1,0.0,0.53,0.28,2.91
Game 203,Wii,1998,Platform,EA,2.06,2.7,0.12,0.0,4.88
Game 204,PS3,2014,Platform,Nintendo,0.0,0.56,0.0,0.0,0.56
Game 205,X360,2008,Shooter,Sony,0.0,0.04,1.05,0.37,1.46
Game 206,DS,1980,Shooter,Activision,1.42,1.63,0.68,0.0,3.73
Game 207,PS3,1983,Sports,Ubisoft,1.42,0.12,1.09,0.0,2.63
Game 208,PC,2007,Role-Playing,Sony,1.42,1.83,0.0,0.1,3.35
Game 209,X360,1997,Racing,Activision,5.42,0.0,0.0,0.0,5.42
Game 210,GB,2005,Racing,EA,1.49,1.64,1.02,0.0,4.15
Game 211,GB,2019,Role-Playing,Microsoft,2.16,0.66,0.27,0.03,3.12
Game 212,X360,1998,Sports,EA,1.94,1.53,0.0,0.32,3.79
Game 213,GB,1985,Shooter,Nintendo,1.58,2.02,0.0,0.42,4.02
Game 214,PS4,1980,Shooter,Nintendo,0.42,0.0,0.29,0.35,1.06
Game 215,X360,1987,Shooter,Microsoft,1.71,1.52,0.9,0.56,4.69
Game 216,PS3,2012,Racing,Activision,0.0,0.0,0.2,0.13,0.33
Game 217,X360,2000,Racing,Sony,0.52,0.0,0.77,0.0,1.29
Game 218,DS,2003,Sports,Nintendo,0.22,0.0,0.58,0.22,1.02
Game 219,GB,2004,Racing,Nintendo,0.9,0.9,0.0,0.0,1.8
Game 220,PS4,1998,Platform,Microsoft,3.58,0.53,0.0,0.0,4.11
Game 221,PS4,2008,Racing,Sony,0.0,0.37,0.03,0.43,0.83
Game 222,PC,1989,Shooter,EA,1.62,0.62,0.0,0.0,2.24
Game 223,PS3,1991,Sports,Ubisoft,0.0,0.97,0.0,0.47,1.44
Game 224,NES,2012,Role-Playing,Microsoft,0.23,1.03,1.21,0.0,2.47
Game 225,NES,1986,Role-Playing,Sony,2.11,1.38,0.28,0.08,3.85
Game 226,X360,1996,Sports,Ubisoft,0.88,1.96,0.0,0.0,2.84
Game 227,PC,1989,Platform,Microsoft,0.0,0.48,1.45,0.65,2.58
Game 228,Wii,2010,Role-Playing,EA,0.0,0.08,0.0,0.44,0.52
Game 229,X360,1985,Shooter,EA,1.62,0.99,0.0,0.0,2.61
Game 230,PC,1996,Role-Playing,Sony,0.0,0.0,1.04,0.14,1.18
Game 231,PS3,2016,Role-Playing,Sony,1.06,0.0,0.7,0.73,2.49
Game 232,PS3,1997,Shooter,EA,0.85,1.3,0.22,0.8,3.17
Game 233,PS3,2005,Racing,EA,0.02,0.4,0.8,0.0,1.22
Game 234,PS3,1995,Platform,Microsoft,3.37,0.0,0.48,0.73,4.58
Game 235,PS3,1987,Shooter,Activision,1.56,0.0,0.0,0.7,2.26
Game 236,PC,2003,Shooter,Activision,0.0,0.54,0.0,0.27,0.81
Game 237,PC,1992,Action,Sony,1.02,1.41,0.0,0.16,2.59
Game 238,PS4,2008,Sports,Ubisoft,0.01,1.4,0.95,0.0,2.36
Game 239,DS,2011,Platform,EA,1.82,0.59,0.04,0.0,2.45
Game 240,NES,2003,Racing,Ubisoft,0.0,2.11,0.58,0.34,3.03
Game 241,GB,1995,Action,Sony,0.66,0.42,0.41,0.13,1.62
Game 242,PS3,1990,Shooter,Sony,1.41,0.39,0.0,0.37,2.17
Game 243,Wii,2011,Action,Nintendo,1.84,0.0,0.06,0.38,2.28
Game 244,GB,1985,Racing,EA,0.0,0.14,0.52,1.21,1.87
Game 245,PC,2014,Action,Activision,0.4,1.18,0.0,0.68,2.26
Game 246,Wii,2012,Action,Activision,0.23,1.75,0.08,0.42,2.48
Game 247,Wii,1997,Action,Sony,0.02,0.0,0.54,0.0,0.56
Game 248,Wii,2016,Shooter,Sony,2.92,0.87,0.34,0.36,4.49
Game 249,PS4,1992,Shooter,EA,1.29,1.34,0.93,0.83,4.39
Game 250,PC,1989,Sports,Nintendo,0.0,0.51,0.53,0.03,1.07
Game 251,Wii,2016,Role-Playing,Nintendo,1.9,0.0,0.0,1.08,2.98
Game 252,PS3,2005,Platform,Nintendo,3.35,0.7,0.01,0.42,4.48
Game 253,X360,1996,Sports,Nintendo,2.04,1.11,0.31,0.32,3.78
Game 254,Wii,1980,Racing,Microsoft,0.0,0.0,1.1,0.0,1.1
Game 255,PS4,2004,Action,EA,0.22,0.3,0.02,0.8,1.34
Game 256,GB,2013,Shooter,EA,2.32,0.0,0.0,0.0,2.32
Game 257,PC,2018,Action,EA,0.0,0.0,0.56,0.0,0.56
Game 258,DS,1989,Shooter,Activision,1.33,1.32,0.0,0.0,2.65
Game 259,PS4,1999,Platform,Nintendo,1.73,0.5,0.0,0.56,2.79
Game 260,Wii,1986,Sports,Nintendo,0.0,1.78,0.31,0.44,2.53
Game 261,PC,1995,Sports,Activision,0.73,1.19,0.88,0.2,3.0
Game 262,X360,2016,Racing,Activision,0.0,0.22,0.0,0.5,0.72
Game 263,Wii,2008,Sports,Sony,0.0,0.43,0.6,0.46,1.49
Game 264,PS4,1991,Sports,Microsoft,0.5,0.95,0.71,0.05,2.21
Game 265,NES,1996,Role-Playing,Activision,0.0,1.27,0.78,0.0,2.05
Game 266,PS3,1999,Platform,EA,2.76,0.76,0.0,0.0,3.52
Game 267,DS,2005,Action,Microsoft,0.0,1.38,0.0,0.13,1.51
Game 268,GB,1998,Sports,Activision,0.27,0.26,0.0,0.0,0.53
Game 269,PS4,1991,Racing,EA,0.96,0.0,0.77,0.27,2.0
Game 270,PC,2000,Action,Nintendo,2.53,0.45,0.7,0.14,3.82
Game 271,DS,2013,Shooter,Nintendo,0.0,0.66,0.0,0.04,0.7
Game 272,DS,1986,Sports,EA,2.2,0.0,1.58,0.62,4.4
Game 273,DS,2014,Sports,Ubisoft,0.81,0.0,0.0,0.0,0.81
Game 274,Wii,1994,Action,Nintendo,0.0,0.86,0.9,0.0,1.76
Game 275,PS3,1980,Shooter,Sony,1.35,0.17,1.21,0.11,2.84
Game 276,Wii,2005,Role-Playing,Activision,1.04,0.37,0.37,0.0,1.78
Game 277,PC,2014,Platform,Nintendo,0.08,0.21,0.0,0.25,0.54
Game 278,Wii,2004,Role-Playing,Sony,0.88,1.72,0.0,0.0,2.6
Game 279,NES,1994,Racing,Microsoft,0.34,1.51,0.14,0.37,2.36
Game 280,PS3,2001,Action,Nintendo,0.94,0.0,0.95,0.0,1.89
Game 281,PS3,1985,Sports,Activision,1.59,0.07,0.0,0.0,1.66
Game 282,PC,1994,Role-Playing,Nintendo,2.7,1.18,0.0,0.45,4.33
Game 283,GB,2003,Platform,Activision,0.0,0.98,0.52,0.18,1.68
Game 284,NES,2000,Racing,Microsoft,3.36,0.47,0.65,0.0,4.48
Game 285,PS4,1986,Role-Playing,Activision,0.0,0.0,1.48,0.0,1.48
Game 286,Wii,2008,Sports,Sony,0.62,0.0,0.0,0.05,0.67
Game 287,X360,2011,Platform,Ubisoft,1.51,0.09,0.22,0.0,1.82
Game 288,Wii,2011,Sports,Activision,1.14,0.72,1.0,0.08,2.94
Game 289,DS,1984,Sports,Activision,0.05,1.86,0.37,0.1,2.38
Game 290,Wii,1983,Racing,Sony,0.55,0.0,0.18,0.0,0.73
Game 291,PS4,2001,Platform,EA,0.21,0.0,0.77,0.46,1.44
Game 292,Wii,1997,Shooter,EA,0.09,0.41,0.0,0.0,0.5
Game 293,NES,2014,Sports,EA,1.82,1.33,0.81,0.7,4.66
Game 294,NES,1996,Platform,Activision,1.23,0.0,0.0,0.11,1.34
Game 295,PS3,2003,Sports,Microsoft,0.0,1.66,0.0,0.0,1.66
Game 296,PC,1981,Role-Playing,Sony,1.88,0.36,0.14,0.42,2.8
Game 297,GB,1992,Role-Playing,Activision,1.17,0.0,0.0,0.21,1.38
Game 298,X360,1994,Platform,Nintendo,1.78,0.0,0.35,0.5,2.63
Game 299,DS,1984,Racing,Activision,1.56,1.07,0.0,0.0,2.63
Game 300,Wii,1982,Shooter,EA,0.0,0.36,0.47,0.41,1.24
Game 301,Wii,2016,Role-Playing,Sony,0.13,0.64,0.41,0.0,1.18
Game 302,PS4,2016,Racing,Nintendo,1.7,0.0,0.26,0.22,2.18
Game 303,PC,2016,Shooter,Sony,1.53,0.24,0.56,0.16,2.49
Game 304,NES,1982,Role-Playing,Microsoft,0.77,0.11,0.42,0.74,2.04
Game 305,X360,2014,Shooter,EA,0.94,0.42,0.12,0.0,1.48
Game 306,PS3,2002,Action,Ubisoft,2.33,0.0,1.4,0.85,4.58
Game 307,NES,2007,Sports,Activision,0.09,0.0,0.54,0.48,1.11
Game 308,DS,2009,Platform,EA,1.46,2.68,0.76,0.26,5.16
Game 309,PC,1997,Role-Playing,EA,0.56,0.0,0.94,0.0,1.5
Game 310,DS,2015,Role-Playing,Microsoft,0.54,0.65,0.7,0.0,1.89
Game 311,GB,2012,Sports,Nintendo,2.12,0.0,1.54,0.0,3.66
Game 312,PS3,2005,Role-Playing,EA,1.79,0.0,0.4,0.45,2.64
Game 313,GB,2019,Role-Playing,Nintendo,1.78,0.58,0.3,0.2,2.86
Game 314,PS4,1996,Action,Nintendo,2.37,0.64,0.0,0.43,3.44
Game 315,DS,2019,Role-Playing,Microsoft,0.83,1.51,0.15,0.0,2.49
Game 316,PS4,1986,Role-Playing,EA,1.62,0.82,0.0,0.22,2.66
Game 317,Wii,1987,Role-Playing,Activision,0.43,0.38,0.71,0.64,2.16
Game 318,GB,2010,Racing,Microsoft,1.19,0.0,0.0,0.78,1.97
Game 319,PC,1991,Role-Playing,Microsoft,0.64,1.7,0.34,0.0,2.68
Game 320,DS,2010,Sports,Ubisoft,0.92,1.24,0.64,0.06,2.86
Game 321,X360,1998,Action,Activision,1.51,0.0,0.39,0.06,1.96
Game 322,PS3,1989,Role-Playing,Microsoft,0.0,0.53,0.0,0.0,0.53
Game 323,NES,2018,Shooter,Ubisoft,3.31,0.62,0.72,0.56,5.21
Game 324,PC,1991,Action,Nintendo,0.0,0.22,0.25,1.35,1.82
Game 325,PC,1999,Action,Activision,0.0,1.12,0.0,0.0,1.12
Game 326,PS4,2016,Shooter,Activision,2.19,1.17,0.0,0.37,3.73
Game 327,GB,2020,Sports,Nintendo,1.75,0.35,1.14,0.32,3.56
Game 328,DS,1986,Racing,Sony,1.55,0.28,1.19,0.33,3.35
Game 329,DS,1993,Sports,Activision,1.55,1.7,0.62,0.73,4.6
Game 330,Wii,1990,Racing,Sony,0.79,1.25,0.77,0.35,3.16
Game 331,Wii,1986,Platform,Nintendo,0.0,0.56,0.0,0.0,0.56
Game 332,PS3,2008,Shooter,EA,0.89,0.0,0.14,0.0,1.03
Game 333,PS4,1989,Action,Sony,0.0,0.78,1.04,0.0,1.82
Game 334,PC,2008,Action,Microsoft,1.97,1.06,0.56,0.0,3.59
Game 335,DS,1988,Action,Activision,0.62,0.0,0.34,0.14,1.1
Game 336,X360,2015,Shooter,Sony,0.0,0.7,0.19,0.11,1.0
Game 337,PS4,1989,Shooter,Activision,0.41,0.17,1.0,0.0,1.58
Game 338,PS3,1998,Racing,Nintendo,1.3,0.32,0.97,0.0,2.59
Game 339,PS3,2010,Action,EA,0.12,0.0,0.69,0.0,0.81
